local_date_,Coordinate_Group_,Local_Time_Min,Max_Brightness,Mean_Brightness,Max_Confidence,Mean_Confidence,FRP,Day_Night,Time_Period,Total_Fire_Incidents,FRP_Bin
7/23/15,Central-East,11:40:00,347.7,347.7,91,91,39.6,D,Morning,1,20-40
7/23/15,North-Central,11:39:00,346,331.4,94,93,97.7,D,Morning,2,80-100
7/24/15,North-West,23:27:00,346.2,328.28333333333336,100,95.83333333333333,66.3,N,Night,6,60-80
7/25/15,Central-East,14:43:00,398.6,362.3,100,99.66666666666667,774.6,N,Night,6,760-780
7/25/15,North-West,3:38:00,372.8,342.26666666666665,100,95.88888888888889,495.8,N,Early Morning,9,480-500
7/25/15,South-East,11:29:00,363,363,100,100,71.8,D,Morning,2,60-80
7/26/15,Central-East,2:44:00,385.3,344.25714285714287,100,96.42857142857143,237.6,N,Afternoon,14,220-240
7/26/15,North-Central,2:44:00,376.6,333.525,100,94.125,153.6,N,Night,8,140-160
7/26/15,South-East,13:46:00,340.5,340.5,81,81,10.6,D,Afternoon,1,0-20
7/27/15,North-Central,3:27:00,370.1,340.725,100,91.5,140.6,D,Afternoon,8,140-160
7/28/15,Central-Central,13:36:00,350.1,348.8,94,93,221.4,D,Afternoon,2,220-240
7/28/15,Central-East,11:58:00,379.8,360.4,100,97,151.8,N,Night,4,140-160
7/28/15,North-Central,2:31:00,390.6,350.3,100,96.25,939.8,N,Afternoon,4,920-940
7/29/15,Central-East,3:15:00,450.4,360.90555555555557,100,96.61111111111111,975.7,D,Afternoon,18,960-980
7/29/15,North-Central,3:15:00,460.2,351.75714285714287,100,97.77142857142857,2562.3,N,Night,35,2560-2580
7/30/15,Central-East,2:20:00,370.2,339.5846153846154,100,95.23076923076923,179.8,N,Early Morning,13,160-180
7/30/15,North-Central,2:19:00,440,349.54181818181814,100,96.25454545454545,1150.7,N,Night,55,1140-1160
7/30/15,North-West,22:50:00,350.3,325.77777777777777,100,94.77777777777777,132.1,N,Night,9,120-140
7/31/15,Central-East,14:06:00,374.5,339.22222222222223,100,95.55555555555556,369.5,N,Night,9,360-380
7/31/15,North-Central,3:02:00,501.4,359.09424460431654,100,96.87050359712231,2024.5,D,Afternoon,139,2020-2040
7/31/15,North-West,3:02:00,454.8,343.83877551020413,100,97.17006802721089,992.2,N,Night,147,980-1000
7/31/15,South-East,14:05:00,364,349.1,100,89,87.4,D,Afternoon,4,80-100
8/1/15,Central-East,3:45:00,500,377.67272727272723,100,96.90909091,2993.3,D,Afternoon,11,2980-3000
8/1/15,North-Central,11:33:00,385,339.7828125,100,95.84375,617.2,N,Night,64,600-620
8/1/15,North-West,3:45:00,486.4,342.46625,100,94.625,3037.3,N,Night,80,3020-3040
8/2/15,Central-East,13:54:00,361.2,341.95714285714286,100,92.42857142857143,103,D,Afternoon,7,100-120
8/2/15,North-Central,2:50:00,406.7,349.9439393939394,100,95.12121212121212,580.6,D,Afternoon,66,580-600
8/2/15,North-West,2:49:00,368.4,326.8397058823529,100,94,264.3,N,Night,68,260-280
8/2/15,South-East,13:53:00,412.8,377.40000000000003,100,95,503.2,D,Afternoon,3,500-520
8/3/15,Central-East,11:22:00,399.2,359.9,100,97.875,760.6,D,Afternoon,8,760-780
8/3/15,North-Central,12:59:00,444.5,357.6527272727273,100,95.65454545454546,2246.9,D,Afternoon,55,2240-2260
8/3/15,North-West,3:32:00,394,343.0866666666667,100,93.9,328.8,D,Afternoon,30,320-340
8/4/15,Central-East,2:38:00,357.2,321.7785714285714,100,92.78571428571429,88.4,N,Night,14,80-100
8/4/15,North-Central,2:37:00,500,369.24634146341464,100,97.09756097560975,1636.5,D,Afternoon,41,1620-1640
8/4/15,North-West,2:37:00,367,333.19199999999995,100,91.76,124.6,D,Afternoon,25,120-140
8/4/15,South-East,13:40:00,341,341,81,81,20.5,D,Afternoon,1,20-40
8/5/15,North-Central,14:26:00,365.2,365.2,100,100,134.9,D,Afternoon,1,120-140
8/5/15,North-West,3:20:00,417.5,339.28533333333337,100,92.33333333333333,375.1,D,Afternoon,75,360-380
8/5/15,South-East,11:10:00,386.4,363.5,100,98,288.4,D,Afternoon,6,280-300
8/6/15,Central-East,11:52:00,362.4,362.4,100,100,88.1,D,Morning,1,80-100
8/6/15,North-Central,15:09:00,331.9,331.9,84,84,189.5,D,Afternoon,1,180-200
